Country	Age Group	Interest in Politics	Satisfied with Government	Like to Protest	Like work with political parties	Like to boycott	Like to campaign for politician	Feel like have a voice	Democracy Preferred	Otner Preferred
Bhutan	Uner 29	5	7	4	8	4	2	8	9	4
Bolivia	Uner 29	5	9	8	2	2	3	10	7	9
Bosnia and Herzegovina	Uner 29	5	3	4	5	1	9	8	8	6
Botswana	Uner 29	5	8	3	2	7	6	4	7	6
Brazil	Uner 29	5	9	1	3	9	9	2	1	4
Bulgaria	Uner 29	5	3	3	3	2	5	10	5	6
Burkina Faso	Uner 29	5	3	3	8	8	2	9	5	9
Burundi	Uner 29	5	7	7	4	2	2	9	2	5
Cambodia	Uner 29	5	1	5	5	1	5	5	8	7
Cameroon	Uner 29	5	1	1	5	4	10	1	4	3
Canada	Uner 29	5	3	5	5	7	1	1	4	7
Central African Republic	Uner 29	5	10	6	10	6	7	5	2	8
Chad	Uner 29	5	8	10	2	7	8	1	1	2
Chile	Uner 29	5	1	10	1	8	1	2	9	7
China	Uner 29	5	7	7	10	8	1	7	3	5
Colombia	Uner 29	5	1	7	9	1	6	10	7	9
Comoros	Uner 29	5	3	7	3	7	3	2	7	7
"Congo, Dem. Rep."	Uner 29	5	4	7	4	4	1	7	9	2
"Congo, Rep."	Uner 29	5	10	2	7	10	2	7	7	5
Costa Rica	Uner 29	5	8	4	6	4	3	7	10	9
Côte d'Ivoire	Uner 29	5	2	7	6	1	9	5	5	4
Croatia	Uner 29	5	1	3	4	5	8	5	7	2
Cyprus	Uner 29	5	5	1	8	2	9	7	1	6
Czech Republic	Uner 29	5	3	7	1	2	6	1	4	4
Denmark	Uner 29	5	3	7	4	10	9	6	6	1
Djibouti	Uner 29	5	10	3	7	10	5	3	6	9
Dominican Republic	Uner 29	5	5	5	5	4	7	2	6	2
Ecuador	Uner 29	5	5	6	3	1	1	5	1	4
"Egypt, Arab Rep."	Uner 29	5	9	8	8	2	9	6	3	5
El Salvador	Uner 29	5	2	10	2	8	9	8	6	2
Estonia	Uner 29	5	6	6	7	1	8	6	6	7
Ethiopia	Uner 29	5	10	9	9	3	9	5	1	7
Finland	Uner 29	5	7	3	9	3	7	4	4	6
France	Uner 29	5	3	4	10	2	4	1	5	6
Gabon	Uner 29	5	7	9	1	10	7	6	6	1
Georgia	Uner 29	5	4	9	3	10	4	6	6	4
Germany	Uner 29	5	7	6	2	3	1	5	5	3
Ghana	Uner 29	5	7	1	1	1	7	6	9	6
Greece	Uner 29	5	9	2	10	3	10	2	3	9
Guatemala	Uner 29	5	6	10	4	2	4	1	6	1
Guinea	Uner 29	5	6	9	8	1	10	9	7	5
Haiti	Uner 29	5	3	1	8	10	1	1	6	6
Honduras	Uner 29	5	5	10	3	2	7	1	6	2
"Hong Kong SAR, China"	Uner 29	5	7	2	6	9	5	10	5	9
Hungary	Uner 29	5	4	1	6	4	9	9	1	4
India	Uner 29	5	2	2	5	5	8	2	10	8
Indonesia	Uner 29	5	8	5	5	4	7	1	2	5
"Iran, Islamic Rep."	Uner 29	5	5	10	1	4	7	1	3	4
Iraq	Uner 29	5	3	3	4	6	9	2	10	2
Ireland	Uner 29	5	1	1	10	7	6	9	3	1
Israel	Uner 29	5	5	6	9	10	1	4	9	2
Italy	Uner 29	5	7	8	4	1	6	10	5	7
Jamaica	Uner 29	5	8	4	1	9	8	10	4	1
Japan	Uner 29	5	7	10	10	9	2	10	6	4
Jordan	Uner 29	5	7	7	10	9	7	1	2	4
Kazakhstan	Uner 29	5	10	1	10	10	7	5	2	10
Kenya	Uner 29	5	10	2	1	8	4	3	8	1
"Korea, Rep."	Uner 29	5	1	1	3	5	6	3	2	10
Kosovo	Uner 29	5	2	9	3	10	2	2	2	3
Kuwait	Uner 29	5	8	2	9	3	7	2	5	10
Kyrgyz Republic	Uner 29	5	2	9	9	3	9	7	10	8
Lao PDR	Uner 29	5	10	5	1	10	5	7	8	3
Latvia	Uner 29	5	2	5	4	6	5	4	7	6
Lebanon	Uner 29	5	2	9	8	10	7	2	9	7
Lesotho	Uner 29	5	9	2	10	7	6	2	9	10
Liberia	Uner 29	5	6	3	3	9	8	8	8	3
Libya	Uner 29	5	10	7	6	1	2	8	8	9
Lithuania	Uner 29	5	1	5	2	2	5	7	5	7
Luxembourg	Uner 29	5	8	8	8	2	10	5	6	5
"Macedonia, FYR"	Uner 29	5	7	4	4	8	7	3	4	1
Madagascar	Uner 29	5	8	9	1	6	10	1	10	2
Malawi	Uner 29	5	3	8	5	9	8	5	4	5
Malaysia	Uner 29	5	8	5	6	1	2	4	7	1
Mali	Uner 29	5	9	8	5	6	3	9	2	7
Malta	Uner 29	5	5	3	7	4	9	5	5	7
Mauritania	Uner 29	5	2	10	1	6	10	10	5	9
Mauritius	Uner 29	5	8	1	6	9	1	10	2	1
Mexico	Uner 29	5	6	8	10	3	9	9	6	6
Moldova	Uner 29	5	7	2	6	6	6	3	8	9
Mongolia	Uner 29	5	1	4	6	1	6	8	8	1
Montenegro	Uner 29	5	1	4	5	2	8	8	2	8
Morocco	Uner 29	5	1	5	1	9	2	6	6	5
Mozambique	Uner 29	5	9	8	10	1	6	1	1	9
Myanmar	Uner 29	5	10	7	3	1	6	10	8	4
Namibia	Uner 29	5	2	3	7	9	8	3	10	4
Nepal	Uner 29	5	8	9	8	3	3	5	5	7
Netherlands	Uner 29	5	1	9	3	8	2	1	6	8
New Zealand	Uner 29	5	1	5	10	2	10	10	4	10
Nicaragua	Uner 29	5	4	10	9	8	6	8	3	5
Niger	Uner 29	5	1	2	3	6	5	6	5	4
Nigeria	Uner 29	5	8	3	4	9	6	6	9	3
Norway	Uner 29	5	5	1	6	9	5	9	2	4
Oman	Uner 29	5	1	2	1	10	6	9	2	7
Pakistan	Uner 29	5	3	5	9	5	4	2	4	2
Panama	Uner 29	5	6	8	4	7	9	3	10	8
Paraguay	Uner 29	5	2	9	4	8	4	3	9	7
Peru	Uner 29	5	1	5	7	9	9	8	1	3
Philippines	Uner 29	5	8	1	5	4	10	7	9	2
Poland	Uner 29	5	5	10	6	5	8	2	6	8
Portugal	Uner 29	5	10	2	4	7	9	9	1	6
Puerto Rico	Uner 29	5	5	1	1	1	2	9	3	8
Qatar	Uner 29	5	3	10	10	6	8	4	7	1
Romania	Uner 29	5	1	9	5	9	6	9	10	10
Russian Federation	Uner 29	5	7	9	8	10	10	10	6	9
Rwanda	Uner 29	5	7	6	8	4	8	9	5	5
Saudi Arabia	Uner 29	5	6	9	8	9	3	9	7	1
Senegal	Uner 29	5	9	8	1	10	2	8	9	4
Serbia	Uner 29	5	5	9	2	6	1	7	5	10
Sierra Leone	Uner 29	5	5	1	1	9	10	10	3	10
Singapore	Uner 29	5	7	4	7	7	5	9	2	5
Slovak Republic	Uner 29	5	3	8	5	4	3	6	5	2
Slovenia	Uner 29	5	5	1	2	3	6	6	2	2
Somalia	Uner 29	5	5	4	9	5	8	6	5	5
South Africa	Uner 29	5	5	2	1	8	2	3	8	8
South Sudan	Uner 29	5	4	3	7	10	5	7	8	8
Spain	Uner 29	5	10	5	6	10	7	6	3	8
Sri Lanka	Uner 29	5	6	9	6	5	4	5	6	7
Sudan	Uner 29	5	9	4	10	7	4	10	3	2
Swaziland	Uner 29	5	5	9	1	5	6	2	10	10
Sweden	Uner 29	5	3	5	5	8	3	8	3	6
Switzerland	Uner 29	5	8	7	8	8	1	10	8	1
Syrian Arab Republic	Uner 29	5	4	10	6	4	9	5	10	3
Tajikistan	Uner 29	5	2	9	2	1	9	6	4	9
Tanzania	Uner 29	5	6	6	10	7	7	2	1	8
Thailand	Uner 29	5	6	6	8	9	5	4	1	10
Togo	Uner 29	5	4	1	4	8	2	3	5	6
Trinidad and Tobago	Uner 29	5	6	1	2	4	9	8	2	10
Tunisia	Uner 29	5	10	3	2	7	8	8	8	2
Turkey	Uner 29	5	6	10	6	3	3	4	7	6
Turkmenistan	Uner 29	5	5	4	2	3	1	2	9	6
Uganda	Uner 29	5	1	2	9	7	4	4	2	9
Ukraine	Uner 29	5	3	1	8	5	9	4	9	3
United Arab Emirates	Uner 29	5	10	3	6	1	8	3	5	10
United Kingdom	Uner 29	5	10	6	5	10	4	4	7	7
United States	Uner 29	5	1	6	7	10	6	9	2	1
Uruguay	Uner 29	5	10	9	9	7	4	9	8	10
Uzbekistan	Uner 29	5	3	8	2	7	7	9	10	8
"Venezuela, RB"	Uner 29	5	7	6	2	10	7	7	3	1
Vietnam	Uner 29	5	7	5	8	9	2	6	9	3
West Bank and Gaza	Uner 29	5	1	3	3	4	7	2	5	3
"Yemen, Rep."	Uner 29	5	2	4	7	9	9	5	7	6
Zambia	Uner 29	5	9	5	1	2	4	9	2	6
Zimbabwe	Uner 29	5	7	9	6	2	8	9	9	5
"Taiwan, China"	Uner 29	5	4	2	1	2	7	10	1	7
Afghanistan	29-38	5	3	1	1	5	6	5	8	10
Albania	29-38	5	6	5	1	7	4	9	6	3
Algeria	29-38	5	10	3	1	4	6	7	2	10
Angola	29-38	5	5	1	8	8	6	6	1	1
Argentina	29-38	5	4	10	8	8	10	4	3	10
Armenia	29-38	5	9	10	4	10	10	7	1	4
Australia	29-38	5	3	6	4	6	10	1	2	10
Austria	29-38	5	7	1	2	3	8	9	6	9
Azerbaijan	29-38	5	1	2	9	6	7	3	10	9
Bahrain	29-38	5	1	8	3	5	9	6	8	7
Bangladesh	29-38	5	5	3	3	8	9	3	10	9
Belarus	29-38	5	6	2	8	5	9	3	8	1
Belgium	29-38	5	9	3	3	2	5	6	6	8
Belize	29-38	5	4	2	7	7	2	5	8	4
Benin	29-38	5	10	10	3	6	4	10	9	7
Bhutan	29-38	5	2	1	5	5	4	2	8	4
Bolivia	29-38	5	10	5	9	2	9	7	6	5
Bosnia and Herzegovina	29-38	5	6	2	3	4	3	4	4	1
Botswana	29-38	5	6	7	8	5	10	6	6	3
Brazil	29-38	5	6	5	2	1	7	6	2	5
Bulgaria	29-38	5	4	8	5	7	2	4	10	7
Burkina Faso	29-38	5	4	9	10	4	1	6	3	9
Burundi	29-38	5	7	4	5	6	4	5	8	10
Cambodia	29-38	5	5	6	5	2	1	9	2	4
Cameroon	29-38	5	6	2	3	1	6	3	5	10
Canada	29-38	5	3	2	4	3	6	8	1	6
Central African Republic	29-38	5	1	5	3	9	6	2	6	4
Chad	29-38	5	1	8	10	2	2	8	2	7
Chile	29-38	5	7	6	1	6	1	3	10	8
China	29-38	5	9	1	5	10	9	4	2	2
Colombia	29-38	5	1	3	2	8	3	10	6	1
Comoros	29-38	5	4	5	10	7	1	2	10	9
"Congo, Dem. Rep."	29-38	5	5	1	10	4	1	5	10	9
"Congo, Rep."	29-38	5	9	1	6	2	3	9	8	8
Costa Rica	29-38	5	1	9	10	9	7	5	3	5
Côte d'Ivoire	29-38	5	7	10	7	4	5	7	2	1
Croatia	29-38	5	4	5	10	1	10	4	4	6
Cyprus	29-38	5	5	3	10	1	5	10	9	2
Czech Republic	29-38	5	4	10	10	1	1	6	9	9
Denmark	29-38	5	8	10	8	3	10	5	1	1
Djibouti	29-38	5	10	9	3	2	2	8	1	3
Dominican Republic	29-38	5	3	10	10	4	2	7	7	10
Ecuador	29-38	5	5	9	1	5	8	1	7	1
"Egypt, Arab Rep."	29-38	5	10	7	4	5	5	5	8	9
El Salvador	29-38	5	1	9	1	7	3	10	7	9
Estonia	29-38	5	5	9	1	6	6	1	9	10
Ethiopia	29-38	5	1	1	5	6	7	6	8	5
Finland	29-38	5	3	10	10	7	6	7	8	2
France	29-38	5	4	3	8	5	7	8	2	9
Gabon	29-38	5	7	3	5	3	8	10	8	10
Georgia	29-38	5	10	10	8	10	8	3	7	10
Germany	29-38	5	4	6	5	8	1	8	10	9
Ghana	29-38	5	10	5	2	10	1	8	3	4
Greece	29-38	5	1	1	9	1	9	9	1	5
Guatemala	29-38	5	8	7	1	3	9	7	2	3
Guinea	29-38	5	8	9	2	8	9	3	2	2
Haiti	29-38	5	9	6	2	5	3	4	8	8
Honduras	29-38	5	4	3	4	2	4	8	10	9
"Hong Kong SAR, China"	29-38	5	7	7	5	9	6	6	9	6
Hungary	29-38	5	9	9	8	10	4	7	2	1
India	29-38	5	9	8	5	8	5	5	2	2
Indonesia	29-38	5	2	1	5	6	8	9	6	1
"Iran, Islamic Rep."	29-38	5	9	2	9	5	9	10	2	5
Iraq	29-38	5	8	8	10	5	7	8	3	10
Ireland	29-38	5	3	7	10	1	4	7	6	2
Israel	29-38	5	7	5	7	5	1	4	8	10
Italy	29-38	5	10	3	8	3	3	2	3	3
Jamaica	29-38	5	7	5	10	10	2	3	6	5
Japan	29-38	5	7	4	8	4	8	9	7	8
Jordan	29-38	5	2	3	1	7	2	5	3	8
Kazakhstan	29-38	5	3	2	9	8	7	3	3	6
Kenya	29-38	5	10	7	3	1	8	4	7	8
"Korea, Rep."	29-38	5	1	10	9	4	9	1	2	4
Kosovo	29-38	5	5	8	2	1	4	9	8	6
Kuwait	29-38	5	7	5	1	1	3	2	9	9
Kyrgyz Republic	29-38	5	6	5	2	1	4	1	8	6
Lao PDR	29-38	5	6	8	3	8	9	2	1	9
Latvia	29-38	5	6	7	5	4	2	9	8	5
Lebanon	29-38	5	4	5	1	7	2	5	3	8
Lesotho	29-38	5	10	1	5	1	8	3	6	2
Liberia	29-38	5	10	10	8	10	5	5	8	6
Libya	29-38	5	4	9	2	2	3	3	5	8
Lithuania	29-38	5	2	6	7	10	9	8	10	2
Luxembourg	29-38	5	1	3	10	10	5	8	3	3
"Macedonia, FYR"	29-38	5	5	2	6	9	9	1	10	5
Madagascar	29-38	5	10	4	8	9	9	7	8	7
Malawi	29-38	5	9	9	3	9	2	4	2	8
Malaysia	29-38	5	3	9	5	7	3	8	10	4
Mali	29-38	5	10	1	6	6	1	1	6	6
Malta	29-38	5	8	10	9	5	2	9	7	10
Mauritania	29-38	5	5	1	1	8	1	2	6	7
Mauritius	29-38	5	2	3	8	7	10	10	1	9
Mexico	29-38	5	8	3	4	4	7	3	7	9
Moldova	29-38	5	1	2	9	8	1	4	3	10
Mongolia	29-38	5	10	3	6	4	6	10	8	3
Montenegro	29-38	5	5	9	5	9	1	1	4	7
Morocco	29-38	5	2	2	10	8	6	1	1	6
Mozambique	29-38	5	9	7	1	7	9	7	4	9
Myanmar	29-38	5	1	1	1	2	4	6	5	5
Namibia	29-38	5	6	5	8	5	10	9	4	2
Nepal	29-38	5	5	8	10	6	10	5	10	5
Netherlands	29-38	5	3	1	5	4	5	6	9	6
New Zealand	29-38	5	9	5	9	8	2	9	8	9
Nicaragua	29-38	5	4	3	9	7	3	2	4	7
Niger	29-38	5	1	6	6	8	9	2	9	1
Nigeria	29-38	5	10	7	2	8	4	9	5	5
Norway	29-38	5	9	2	6	3	8	5	7	4
Oman	29-38	5	7	3	10	9	5	7	8	8
Pakistan	29-38	5	8	6	9	10	8	1	6	5
Panama	29-38	5	3	6	9	4	3	3	10	8
Paraguay	29-38	5	6	2	3	4	8	6	9	9
Peru	29-38	5	9	10	10	8	3	8	3	5
Philippines	29-38	5	5	3	8	4	6	7	6	3
Poland	29-38	5	9	2	6	4	3	2	4	7
Portugal	29-38	5	10	9	3	4	2	2	8	1
Puerto Rico	29-38	5	3	2	2	8	5	10	6	1
Qatar	29-38	5	10	2	4	10	8	1	4	9
Romania	29-38	5	7	9	9	10	2	7	10	3
Russian Federation	29-38	5	8	10	9	10	10	3	7	8
Rwanda	29-38	5	10	1	5	7	4	2	5	4
Saudi Arabia	29-38	5	3	6	1	4	4	1	1	4
Senegal	29-38	5	7	3	6	1	5	2	5	6
Serbia	29-38	5	8	9	4	9	1	6	6	6
Sierra Leone	29-38	5	1	9	3	1	6	6	1	7
Singapore	29-38	5	3	2	9	3	1	4	7	3
Slovak Republic	29-38	5	4	3	3	3	1	5	10	9
Slovenia	29-38	5	1	4	1	6	8	8	6	3
Somalia	29-38	5	10	10	5	2	2	3	5	1
South Africa	29-38	5	6	2	7	4	4	9	5	4
South Sudan	29-38	5	4	8	4	10	8	9	4	8
Spain	29-38	5	2	1	9	5	4	6	2	2
Sri Lanka	29-38	5	4	10	8	3	10	4	10	8
Sudan	29-38	5	1	10	9	1	9	9	4	5
Swaziland	29-38	5	9	5	9	10	7	1	4	9
Sweden	29-38	5	2	3	2	7	7	1	10	9
Switzerland	29-38	5	3	2	1	2	4	5	2	3
Syrian Arab Republic	29-38	5	3	10	5	9	1	2	1	7
Tajikistan	29-38	5	2	7	1	10	10	6	5	10
Tanzania	29-38	5	4	1	2	4	3	3	6	2
Thailand	29-38	5	1	1	7	8	4	5	1	1
Togo	29-38	5	4	4	5	6	5	10	10	3
Trinidad and Tobago	29-38	5	10	3	5	9	5	4	9	5
Tunisia	29-38	5	4	4	3	10	1	9	4	10
Turkey	29-38	5	5	5	3	8	9	2	7	3
Turkmenistan	29-38	5	2	2	1	5	8	6	4	7
Uganda	29-38	5	9	4	10	8	9	6	1	1
Ukraine	29-38	5	1	8	1	2	7	5	5	7
United Arab Emirates	29-38	5	6	2	10	8	3	9	7	6
United Kingdom	29-38	5	1	9	3	8	9	7	8	1
United States	29-38	5	1	3	8	3	1	1	5	7
Uruguay	29-38	5	3	4	10	1	9	5	10	2
Uzbekistan	29-38	5	3	8	3	3	2	8	4	9
"Venezuela, RB"	29-38	5	1	8	7	4	10	4	5	9
Vietnam	29-38	5	10	9	3	3	2	3	3	6
West Bank and Gaza	29-38	5	9	10	9	3	1	6	3	2
"Yemen, Rep."	29-38	5	9	1	5	9	8	4	7	5
Zambia	29-38	5	7	1	5	5	2	3	3	7
Zimbabwe	29-38	5	7	5	5	2	5	6	7	9
"Taiwan, China"	29-38	5	8	9	5	3	7	3	6	2
Afghanistan	39+	5	6	3	4	2	6	1	10	9
Albania	39+	5	7	1	6	7	7	5	8	6
Algeria	39+	5	6	9	1	8	10	7	1	8
Angola	39+	5	7	3	5	3	10	3	6	2
Argentina	39+	5	2	3	9	4	3	2	1	6
Armenia	39+	5	1	8	6	1	3	9	6	10
Australia	39+	5	10	5	7	5	7	10	7	5
Austria	39+	5	5	8	4	4	2	3	6	4
Azerbaijan	39+	5	4	10	2	1	2	4	4	4
Bahrain	39+	5	10	8	3	5	1	9	10	7
Bangladesh	39+	5	10	4	4	6	9	9	8	4
Belarus	39+	5	7	4	8	3	10	4	1	6
Belgium	39+	5	3	3	9	5	1	2	3	6
Belize	39+	5	6	6	8	8	3	7	10	10
Benin	39+	5	8	6	1	5	2	8	9	9
Bhutan	39+	5	9	2	1	5	8	7	2	3
Bolivia	39+	5	7	8	6	6	10	10	9	5
Bosnia and Herzegovina	39+	5	8	10	3	9	5	8	3	7
Botswana	39+	5	10	6	4	9	6	1	10	8
Brazil	39+	5	7	7	4	1	6	5	7	6
Bulgaria	39+	5	9	6	8	7	1	3	7	6
Burkina Faso	39+	5	7	9	4	5	1	6	6	7
Burundi	39+	5	5	1	4	5	3	2	1	7
Cambodia	39+	5	5	2	8	7	3	9	8	9
Cameroon	39+	5	7	9	6	3	3	10	6	7
Canada	39+	5	9	7	3	10	9	1	4	1
Central African Republic	39+	5	2	5	9	10	10	4	7	2
Chad	39+	5	5	1	4	2	4	9	4	7
Chile	39+	5	10	7	6	10	1	4	1	9
China	39+	5	3	4	6	1	4	5	9	3
Colombia	39+	5	10	4	1	8	5	9	8	9
Comoros	39+	5	5	8	5	7	9	4	5	8
"Congo, Dem. Rep."	39+	5	9	1	6	10	3	5	7	2
"Congo, Rep."	39+	5	8	6	3	3	7	8	4	8
Costa Rica	39+	5	3	6	5	5	9	2	5	2
Côte d'Ivoire	39+	5	3	3	10	1	5	7	5	1
Croatia	39+	5	6	6	6	5	10	6	7	7
Cyprus	39+	5	4	6	6	8	7	1	4	8
Czech Republic	39+	5	1	4	4	5	10	8	10	1
Denmark	39+	5	7	10	5	3	1	1	2	7
Djibouti	39+	5	2	5	5	5	1	7	6	10
Dominican Republic	39+	5	4	10	1	10	3	8	3	4
Ecuador	39+	5	6	8	10	2	9	7	3	8
"Egypt, Arab Rep."	39+	5	2	9	4	8	1	10	5	9
El Salvador	39+	5	3	9	4	3	6	4	6	5
Estonia	39+	5	6	7	2	6	3	10	4	5
Ethiopia	39+	5	2	7	7	2	10	1	9	6
Finland	39+	5	6	4	3	8	10	3	3	3
France	39+	5	4	9	5	7	1	6	10	10
Gabon	39+	5	4	1	10	7	2	2	5	7
Georgia	39+	5	3	6	2	4	9	2	5	4
Germany	39+	5	9	4	7	6	7	1	10	9
Ghana	39+	5	6	2	4	2	7	5	3	10
Greece	39+	5	8	2	9	9	8	1	10	8
Guatemala	39+	5	9	6	1	6	10	2	2	7
Guinea	39+	5	7	6	7	2	3	5	8	10
Haiti	39+	5	9	9	4	7	9	8	8	1
Honduras	39+	5	3	3	1	7	8	3	10	6
"Hong Kong SAR, China"	39+	5	8	5	10	9	6	4	6	4
Hungary	39+	5	1	10	8	3	4	6	2	4
India	39+	5	3	1	5	4	3	7	10	9
Indonesia	39+	5	10	2	9	8	1	8	1	8
"Iran, Islamic Rep."	39+	5	2	5	9	3	5	3	9	5
Iraq	39+	5	9	2	3	10	5	1	4	5
Ireland	39+	5	10	10	10	5	9	1	6	5
Israel	39+	5	4	1	5	10	10	2	9	9
Italy	39+	5	9	6	3	6	2	5	3	7
Jamaica	39+	5	2	4	1	6	7	4	10	10
Japan	39+	5	3	4	7	5	8	7	3	4
Jordan	39+	5	2	6	10	5	10	3	7	8
Kazakhstan	39+	5	6	7	4	1	4	7	10	10
Kenya	39+	5	4	5	10	6	7	8	3	1
"Korea, Rep."	39+	5	1	5	6	10	5	8	8	10
Kosovo	39+	5	4	2	1	5	1	3	3	7
Kuwait	39+	5	2	3	5	10	7	10	8	3
Kyrgyz Republic	39+	5	1	10	7	2	5	4	7	6
Lao PDR	39+	5	8	9	8	10	10	3	1	1
Latvia	39+	5	7	2	8	5	7	5	1	2
Lebanon	39+	5	8	9	7	7	7	2	1	2
Lesotho	39+	5	5	3	9	5	7	8	8	4
Liberia	39+	5	6	10	2	9	9	5	9	8
Libya	39+	5	2	5	1	9	9	7	10	3
Lithuania	39+	5	4	8	4	8	2	5	1	5
Luxembourg	39+	5	10	9	7	2	10	4	3	2
"Macedonia, FYR"	39+	5	2	3	6	10	9	10	4	6
Madagascar	39+	5	8	4	7	5	8	9	3	4
Malawi	39+	5	1	10	7	5	8	7	2	8
Malaysia	39+	5	8	4	8	4	2	4	9	4
Mali	39+	5	3	7	8	10	3	5	1	3
Malta	39+	5	3	2	2	6	9	2	9	2
Mauritania	39+	5	9	1	1	1	10	9	1	2
Mauritius	39+	5	6	9	4	1	8	10	7	5
Mexico	39+	5	6	3	10	2	5	1	9	6
Moldova	39+	5	10	7	1	6	1	6	3	1
Mongolia	39+	5	3	8	1	5	5	3	1	1
Montenegro	39+	5	5	5	8	2	7	3	10	3
Morocco	39+	5	1	10	10	9	5	7	10	4
Mozambique	39+	5	3	1	6	9	7	3	1	2
Myanmar	39+	5	9	4	1	8	4	1	6	3
Namibia	39+	5	7	8	9	4	2	3	5	5
Nepal	39+	5	2	10	8	7	8	3	1	2
Netherlands	39+	5	10	10	2	9	9	4	7	10
New Zealand	39+	5	5	5	9	3	1	3	8	6
Nicaragua	39+	5	8	8	4	10	6	7	9	8
Niger	39+	5	2	3	5	1	3	5	7	7
Nigeria	39+	5	5	7	6	5	8	4	8	4
Norway	39+	5	8	5	4	9	6	9	9	6
Oman	39+	5	8	5	1	3	5	4	6	3
Pakistan	39+	5	6	7	3	6	2	6	10	5
Panama	39+	5	1	6	6	2	4	9	1	7
Paraguay	39+	5	4	6	10	2	5	4	6	4
Peru	39+	5	5	4	6	8	2	2	9	2
Philippines	39+	5	6	7	8	8	8	6	3	4
Poland	39+	5	2	7	1	2	8	2	2	5
Portugal	39+	5	6	8	5	1	10	5	2	5
Puerto Rico	39+	5	5	1	8	9	3	10	4	10
Qatar	39+	5	10	7	3	4	2	8	6	2
Romania	39+	5	3	10	5	9	1	2	5	5
Russian Federation	39+	5	1	9	4	2	7	10	3	2
Rwanda	39+	5	5	1	10	10	10	2	1	10
Saudi Arabia	39+	5	10	1	8	3	6	4	3	10
Senegal	39+	5	6	7	2	1	1	7	4	6
Serbia	39+	5	4	3	9	9	9	9	1	1
Sierra Leone	39+	5	5	9	7	9	9	3	8	5
Singapore	39+	5	3	3	5	4	8	5	6	10
Slovak Republic	39+	5	9	7	9	2	9	1	9	6
Slovenia	39+	5	1	8	4	6	8	3	4	1
Somalia	39+	5	1	6	8	6	3	8	5	5
South Africa	39+	5	2	7	7	9	7	6	2	1
South Sudan	39+	5	3	5	1	5	6	1	3	8
Spain	39+	5	6	3	2	10	7	4	8	6
Sri Lanka	39+	5	10	3	3	10	3	8	2	2
Sudan	39+	5	3	5	1	7	7	4	2	5
Swaziland	39+	5	10	5	7	9	9	1	6	4
Sweden	39+	5	5	5	9	7	8	5	4	5
Switzerland	39+	5	10	4	4	7	5	10	2	1
Syrian Arab Republic	39+	5	2	9	1	9	1	1	7	9
Tajikistan	39+	5	4	8	7	1	2	2	10	3
Tanzania	39+	5	9	3	8	9	1	2	10	10
Thailand	39+	5	3	1	5	2	7	7	6	1
Togo	39+	5	9	9	10	4	9	2	5	10
Trinidad and Tobago	39+	5	4	6	1	1	4	6	4	1
Tunisia	39+	5	8	1	1	1	9	10	6	9
Turkey	39+	5	6	8	1	7	10	2	1	9
Turkmenistan	39+	5	5	9	9	7	3	8	10	7
Uganda	39+	5	3	3	9	2	3	10	1	7
Ukraine	39+	5	7	4	4	2	3	10	10	1
United Arab Emirates	39+	5	7	3	4	7	3	5	5	2
United Kingdom	39+	5	7	7	8	6	5	8	4	4
United States	39+	5	9	5	8	8	3	2	4	9
Uruguay	39+	5	10	9	10	10	6	1	3	6
Uzbekistan	39+	5	7	10	4	10	8	9	9	4
"Venezuela, RB"	39+	5	6	3	2	9	1	9	8	5
Vietnam	39+	5	4	10	4	8	1	5	4	4
West Bank and Gaza	39+	5	8	7	8	2	8	6	5	5
"Yemen, Rep."	39+	5	10	8	3	8	8	5	4	10
Zambia	39+	5	10	6	8	9	8	5	6	5
Zimbabwe	39+	5	6	1	5	5	3	3	6	10
"Taiwan, China"	39+	5	10	7	2	1	4	10	6	4
Afghanistan	Uner 29	9	7	1	8	4	10	5	8	7
Albania	Uner 29	9	1	10	8	7	1	5	4	1
Algeria	Uner 29	9	5	9	2	3	8	8	4	3
Angola	Uner 29	9	2	3	7	3	2	4	6	10
Argentina	Uner 29	9	10	8	8	9	9	9	2	9
Armenia	Uner 29	9	8	4	3	9	1	1	1	1
Australia	Uner 29	9	4	4	4	4	9	8	1	6
Austria	Uner 29	9	10	1	8	2	8	3	7	6
Azerbaijan	Uner 29	9	10	9	1	7	5	5	5	2
Bahrain	Uner 29	9	1	4	9	4	7	7	10	3
Bangladesh	Uner 29	9	6	9	6	2	8	8	1	1
Belarus	Uner 29	9	3	5	8	8	6	5	1	10
Belgium	Uner 29	9	5	9	10	3	7	3	5	3
Belize	Uner 29	9	5	6	7	8	4	5	3	4
Benin	Uner 29	9	2	2	4	9	9	6	7	5
Bhutan	Uner 29	9	4	3	3	5	9	7	1	7
Bolivia	Uner 29	9	2	5	3	9	10	4	9	7
Bosnia and Herzegovina	Uner 29	9	4	6	6	6	7	7	2	5
Botswana	Uner 29	9	2	10	10	7	2	9	6	8
Brazil	Uner 29	9	3	5	3	2	7	5	9	2
Bulgaria	Uner 29	9	3	4	9	7	9	6	5	7
Burkina Faso	Uner 29	9	10	2	2	4	8	3	9	5
Burundi	Uner 29	9	1	4	9	5	5	8	2	9
Cambodia	Uner 29	9	3	4	5	8	8	1	7	1
Cameroon	Uner 29	9	10	3	6	10	1	3	5	5
Canada	Uner 29	9	9	10	5	3	5	10	4	2
